Product name,Reference,Category,SKU,Price CZK,Price EUR,Imp. Cost EUR,Imp. Cost CZK,Weight (g),Imported (pcs),Stock (pcs),Total orders
Đèn pin cầm tay v2,2507 Đèn pin cầm tay v2,Đồ điện,A0001033,250,10,2.18,53.78,100,100,-2,0
Pin thay đèn sạc,2502 Pin thay đèn sạc,Đồ điện,A0000880,450,18,15.53,390.01,100,20,-1,0
Tinh dầu trị nấm 15ml,2510 Thuốc trị nấm,Hoá chất,A0001123,250,10,#N/A,109.33,100,120,-2,0
Nước cầm máu,2502 Nước cầm màu,Hoá chất,A0000885,100,4,1.94,48.52,100,288,-1,0
Bột - Natural pink,2512 Bột Natural Pink,Bột,A0001235,840,35,#N/A,425.91,100,102,-1,0
Bột - Crystal clear,2510 Bột - Crystal Clear,Bột,A0001133,840,35,#N/A,477.31,100,34,-1,0
Liquid Mango J2000M C2,2505 Liquid Mango J2000M C2,Hoá chất,A0000997,1300,52,37.02,922.49,100,144,-2,0
Liquid J-2000 C2,2510 Liquid J2000 C2,Hoá chất,A0001121,1100,50,#N/A,753.21,100,72,-12,0
Liquid J2000 C0,2510 Liquid J2000 C0,Hoá chất,A0001120,1100,50,#N/A,753.21,100,72,-1,0
Bột - Super white,2512 Bột Super White,Bột,A0001237,840,35,#N/A,461.52,100,34,-1,0
Bột - Ombre white,2512 Bột - Ombre White,Bột,A0001240,840,35,#N/A,444.94,100,17,-1,0
Bột - Milky white,2512 Bột Milky White,Bột,A0001236,840,35,#N/A,461.52,100,51,-4,0
Bột - Makeup nude,2512 Bột Makeup Nude,Bột,A0001233,840,35,#N/A,425.91,100,68,-6,0
Bột - Makeup peach,2510 Bột - Makeup Peach,Bột,A0001132,840,35,#N/A,477.31,100,17,-3,0
Bột - Makeup pink,2512 Bột Makeup Pink,Bột,A0001234,840,35,#N/A,425.91,100,68,-4,0
Bột - Clear,2512 Bột - Clear,Bột,A0001239,840,35,#N/A,444.94,100,34,-4,0
Primer 500ml,2510 Primer 500ml,Hoá chất,A0001136,840,35,#N/A,161.13,100,394,-5,0
